,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall
Traffic Flow Prediction With Big Data: A Deep Learning Approach,crossref,0.0,0.0,0.0,0.6970108405603689,,,,,
Deep Architecture for Traffic Flow Prediction: Deep Belief Networks With Multitask Learning,crossref,0.0,0.0,0.0,0.665506088937323,,,,,
Building High-level Features Using Large Scale Unsupervised Learning,crossref,0.0,0.0,0.0,0.7106545528354965,,,,,
A fast learning algorithm for deep belief nets,crossref,1.0,0.6666666666666666,0.08928571428571429,0.8217276308187358,,,,,
Prediction as a candidate for learning deep hierarchical models of data.,,,,,,,,,,
