,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall
Csift: A sift descriptor with color invariant characteristics,crossref,0.0,0.0,0.0,0.7068578401897897,,,,,
Visual thinking,crossref,0.0,0.0,0.0,0.6920422091317854,,,,,
Towards automated classification of fine-art painting style: A comparative study,,,,,,,,,,
Classification of artistic styles using binarized features derived from a deep neural network,crossref,0.0,0.0,0.0,0.6830981057116127,,,,,
"Computer Vision and Image Analysis of Art: Proceedings of the SPIE Electronic Imaging Symposium, San Jose Convention Center, 18-22 January 2010",,,,,,,,,,
Automatic extraction of brushstroke orientation from paintings,crossref,0.0,0.0,0.0,0.648320904742057,,,,,
Classemes and other classifier-based features for efficient object categorization,crossref,0.0,0.0,0.0,0.6923687421698232,,,,,
Picodes: Learning a compact code for novel-category recognition,,,,,,,,,,
Artistic image classification: An analysis on the printart database,crossref,0.0,0.0,0.0,0.7383188338475936,,,,,
Histograms of oriented gradients for human detection,crossref,0.0,0.0,0.0,0.6799766571935852,,,,,
Information-theoretic metric learning,crossref,0.0,0.0,0.0,0.6709877724268118,,,,,
Foundations of Art and Design,,,,,,,,,,
Neighbourhood components analysis,,,,,,,,,,
Image processing for artist identification,crossref,0.0,0.0,0.0,0.648320904742057,,,,,
Imagenet classification with deep convolutional neural networks,crossref,0.3,0.2830188679245283,0.14150943396226415,0.8395653865316899,,,,,
Gradient-based learning applied to document recognition,crossref,0.0,0.0,0.0,0.69436459861705,,,,,
Studying digital imagery of ancient paintings by mixtures of stochastic models,crossref,0.0,0.0,0.0,0.648320904742057,,,,,
Rhythmic brushstrokes distinguish van gogh from his contemporaries: Findings via automated brushstroke extraction,crossref,0.0,0.0,0.0,0.6770789388839046,,,,,
The classification of style in fine-art painting,,,,,,,,,,
Distinctive image features from scale-invariant keypoints,crossref,0.0,0.0,0.0,0.6799766571935852,,,,,
A digital technique for art authentication,crossref,0.0,0.0,0.0,0.6627344880431367,,,,,
Modeling the shape of the scene: A holistic representation of the spatial envelope,,,,,,,,,,
Detection of forgery in paintings using supervised learning,crossref,0.0,0.0,0.0,0.7365345150362583,,,,,
Hierarchical classification of paintings using face- and brush stroke models,crossref,0.0,0.0,0.0,0.648320904742057,,,,,
Knowledge discovery of artistic influences: A metric learning approach,,,,,,,,,,
Positive semidefinite metric learning using boosting-like algorithms,,,,,,,,,,
Computer vision and computer graphics analysis of paintings and drawings: An introduction to the literature,crossref,0.0,0.0,0.0,0.7042568271141372,,,,,
Efficient object category recognition using classemes,crossref,0.0,0.0,0.0,0.6983230845976132,,,,,
Matconvnet – convolutional neural networks for matlab,,,,,,,,,,
Metric learning for kernel regression,,,,,,,,,,
Distance metric learning for large margin nearest neighbor classification,,,,,,,,,,
